version	doi	APN	BEKANN1	BEKANN2	BEKANN3	BEKANN4	BEKANN5	BEKANN6	BEKANN7	BEKANN9	BEKANN10	BEKANN11	BEKANN12	BEKANN13	BEKANN14	BEKANN15	BEKANN16	BEKANN17	BEKANN18	BEKANN19	BEKANN20	BEKANN21	BEKANN22	BEKANN23	BEKANN24	BEKANN25	BEKANN26	BEKANN27	BEKANN28	BEKANN29	BEKANN30	BEKANN31	EUBESUCH	BESUCH1	BESUCH2	BESUCH3	BESUCH4	BESUCH5	BESUCH6	BESUCH7	BESUCH9	BESUCH10	BESUCH11	BESUCH12	BESUCH13	BESUCH14	BESUCH15	BESUCH16	BESUCH17	BESUCH18	BESUCH19	BESUCH20	BESUCH21	BESUCH22	BESUCH23	BESUCH24	BESUCH25	BESUCH26	BESUCH27	BESUCH28	BESUCH29	BESUCH30	BESUCH31	PLAN1	PLAN2	PLAN3	PLAN4	PLAN5	PLAN6	PLAN7	PLAN9	PLAN10	PLAN11	PLAN12	PLAN13	PLAN14	PLAN15	PLAN16	PLAN17	PLAN18	PLAN19	PLAN20	PLAN21	PLAN22	PLAN23	PLAN24	PLAN25	PLAN26	PLAN27	PLAN28	PLAN29	PLAN30	PLAN31	EUROPLAN	ADAUER	BRDDAUER	CHDAUER	AEIG1	AEIG2	AEIG3	AEIG4	AEIG5	AEIG6	AEIG7	AEIG8	AEIG9	AEIG10	AEIG11	AEIG12	BRDEIG1	BRDEIG2	BRDEIG3	BRDEIG4	BRDEIG5	BRDEIG6	BRDEIG7	BRDEIG8	BRDEIG9	BRDEIG10	BRDEIG11	BRDEIG12	CHEIG1	CHEIG2	CHEIG3	CHEIG4	CHEIG5	CHEIG6	CHEIG7	CHEIG8	CHEIG9	CHEIG10	CHEIG11	CHEIG12	KEIEIG1	KEIEIG2	KEIEIG3	KEIEIG4	KEIEIG5	KEIEIG6	KEIEIG7	KEIEIG8	KEIEIG9	KEIEIG10	KEIEIG11	KEIEIG12	ACAR1	ACAR3	ACAR4	ACAR5	ACAR6	ACAR7	ACAR8	ACAR9	ACAR10	ACAR11	ACAR15	ACAR16	ACAR17	BRDCAR1	BRDCAR3	BRDCAR4	BRDCAR5	BRDCAR6	BRDCAR7	BRDCAR8	BRDCAR9	BRDCAR10	BRDCAR11	BRDCAR15	BRDCAR16	BRDCAR17	CHCAR1	CHCAR3	CHCAR4	CHCAR5	CHCAR6	CHCAR7	CHCAR8	CHCAR9	CHCAR10	CHCAR11	CHCAR15	CHCAR16	CHCAR17	KEICAR1	KEICAR3	KEICAR4	KEICAR5	KEICAR6	KEICAR7	KEICAR8	KEICAR9	KEICAR10	KEICAR11	KEICAR15	KEICAR16	KEICAR17	BEKBIL35	BEKBIL36	BEKBIL37	BEKBIL38	BEKBIL39	BEKBIL40	BEKBIL41	BEKBIL42	BEKBIL43	BEKBIL44	BEKBIL45	BEKBIL46	BEKBIL47	BEKBIL48	BEKBIL49	BEKBIL50	BEKBIL51	BEKBIL52	BEKBIL53	BEKBIL54	BEKBIL55	BEKBIL56	BEKBIL57	BEKBIL58	BEKBIL59	BEKBIL60	BEKBIL61	BEKBIL62	ABIL35	ABIL36	ABIL37	ABIL38	ABIL39	ABIL40	ABIL41	ABIL42	ABIL43	ABIL44	ABIL45	ABIL46	ABIL47	ABIL48	ABIL49	ABIL50	ABIL51	ABIL52	ABIL53	ABIL54	ABIL55	ABIL56	ABIL57	ABIL58	ABIL59	ABIL60	ABIL61	ABIL62	BRDBIL35	BRDBIL36	BRDBIL37	BRDBIL38	BRDBIL39	BRDBIL40	BRDBIL41	BRDBIL42	BRDBIL43	BRDBIL44	BRDBIL45	BRDBIL46	BRDBIL47	BRDBIL48	BRDBIL49	BRDBIL50	BRDBIL51	BRDBIL52	BRDBIL53	BRDBIL54	BRDBIL55	BRDBIL56	BRDBIL57	BRDBIL58	BRDBIL59	BRDBIL60	BRDBIL61	BRDBIL62	CHBIL35	CHBIL36	CHBIL37	CHBIL38	CHBIL39	CHBIL40	CHBIL41	CHBIL42	CHBIL43	CHBIL44	CHBIL45	CHBIL46	CHBIL47	CHBIL48	CHBIL49	CHBIL50	CHBIL51	CHBIL52	CHBIL53	CHBIL54	CHBIL55	CHBIL56	CHBIL57	CHBIL58	CHBIL59	CHBIL60	CHBIL61	CHBIL62	KEIBIL35	KEIBIL36	KEIBIL37	KEIBIL38	KEIBIL39	KEIBIL40	KEIBIL41	KEIBIL42	KEIBIL43	KEIBIL44	KEIBIL45	KEIBIL46	KEIBIL47	KEIBIL48	KEIBIL49	KEIBIL50	KEIBIL51	KEIBIL52	KEIBIL53	KEIBIL54	KEIBIL55	KEIBIL56	KEIBIL57	KEIBIL58	KEIBIL59	KEIBIL60	KEIBIL61	KEIBIL62	AIMMER	BRDIMMER	CHIMMER	ABUERG	BRDBUERG	CHBUERG	FREQ1	FREQ6	FREQ2	FREQ3	FREQ4	COMPU1	COMPU2	COMPU3	COMPU4	SKI1	SKI6	SKI3	FOOD1	FOOD2	FOOD9	FOOD6	FOOD7	WEIN1	WEIN2	WEIN3	WEIN8	KLASS1	KLASS2	KLASS3	KLASS9	ABEV1	ABEV2	ABEV3	ABEV4	ABEV5	ABEV6	BRDBEV1	BRDBEV2	BRDBEV3	BRDBEV4	BRDBEV5	BRDBEV6	CHBEV1	CHBEV2	CHBEV3	CHBEV4	CHBEV5	CHBEV6	SPBEK1	SPBEK38	SPBEK2	SPBEK33	SPBEK3	SPBEK5	SPBEK6	SPBEK7	SPBEK8	SPBEK9	SPBEK10	SPBEK11	SPBEK12	SPBEK13	SPBEK39	SPBEK40	SPBEK41	SPBEK15	SPBEK14	SPBEK16	SPBEK17	SPBEK18	SPBEK19	GSBEK1	GSBEK38	GSBEK2	GSBEK33	GSBEK3	GSBEK5	GSBEK6	GSBEK7	GSBEK8	GSBEK9	GSBEK10	GSBEK11	GSBEK12	GSBEK13	GSBEK39	GSBEK40	GSBEK41	GSBEK15	GSBEK14	GSBEK16	GSBEK17	GSBEK18	GSBEK19	AUSTR1	AUSTR38	AUSTR2	AUSTR33	AUSTR3	AUSTR5	AUSTR6	AUSTR7	AUSTR8	AUSTR9	AUSTR10	AUSTR11	AUSTR12	AUSTR13	AUSTR39	AUSTR40	AUSTR41	AUSTR15	AUSTR14	AUSTR16	AUSTR17	AUSTR18	AUSTR19	SEX	ALTER	BERUF	SPARTE	POSITION	BILDUNG	SPRACH3	SPRACH12	SPRACH1	SPRACH2	SPRACH4	SPRACH5	SPRACH8	SPRACH11	Bildungneu	INTDAUER
"1.0 (2024-01-04)"	"doi:10.11587/PGVNMD"	71	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	10	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	1	3	3	3	1	1	1	1	5	4	1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	7	5	6	-1	-1	-1	-1	3	1	4	2	3	4	3	3	4	4	3	4	3	2	4	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	1	0	1	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	4	1	2	1	4	0	0	1	0	1	0	0	1	1	40
"1.0 (2024-01-04)"	"doi:10.11587/PGVNMD"	72	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	4	2	1	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	1	0	1	1	1	0	0	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	3	3	4	4	4	5	4	3	1	1	-1	-1	-1	-1	-1	-1	-1	4	7	7	4	3	5	4	3	6	1	1	3	6	2	2	4	1	3	3	2	2	4	3	4	3	3	2	4	2	3	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	2	2	1	5	2	4	0	0	1	1	1	0	1	0	1	35
"1.0 (2024-01-04)"	"doi:10.11587/PGVNMD"	73	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	4	3	3	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	3	1	1	1	1	5	2	2	2	4	3	5	3	-1	-1	-1	5	5	6	6	5	7	5	5	5	2	3	3	5	1	1	4	1	3	3	3	3	2	3	1	2	3	2	3	2	2	4	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	5	1	7	1	5	0	0	1	1	1	0	0	0	1	30
"1.0 (2024-01-04)"	"doi:10.11587/PGVNMD"	74	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	2	4	1	1	1	0	1	1	0	0	0	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	5	1	1	1	5	4	3	2	4	-1	-1	-1	-1	-1	-1	-1	6	6	5	7	7	7	5	4	4	-1	-1	-1	-1	1	1	4	1	4	4	2	3	3	3	3	3	2	3	3	4	3	3	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	5	1	2	1	4	0	0	1	0	1	0	0	0	1	45
"1.0 (2024-01-04)"	"doi:10.11587/PGVNMD"	75	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	4	3	3	1	1	1	0	1	1	0	0	0	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	1	0	1	1	0	1	0	1	0	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	0	0	1	1	0	0	1	1	1	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	7	1	1	1	4	4	3	1	5	-1	-1	-1	-1	-1	-1	-1	5	6	7	6	5	6	5	4	7	-1	-1	-1	-1	2	1	4	1	4	4	3	2	2	3	3	4	3	3	3	3	2	4	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	5	-1	2	2	0	0	0	1	1	0	0	0	2	30
"1.0 (2024-01-04)"	"doi:10.11587/PGVNMD"	76	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	5	1	4	1	1	1	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	1	1	1	1	0	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	3	1	1	1	5	4	2	2	2	-1	-1	-1	-1	-1	-1	-1	5	5	6	6	6	7	7	5	7	4	5	4	6	2	1	4	1	3	4	3	3	3	4	3	3	3	4	4	3	3	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	1	3	2	2	0	0	1	0	1	0	0	0	2	35
"1.0 (2024-01-04)"	"doi:10.11587/PGVNMD"	77	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	4	1	1	1	0	1	0	0	0	0	0	1	1	0	0	1	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	2	1	1	1	4	4	3	1	3	-1	-1	-1	-1	-1	-1	-1	6	6	6	5	5	6	4	5	7	2	3	3	5	3	1	3	1	3	4	2	2	3	3	3	4	3	1	4	3	4	4	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	7	2	3	1	0	1	0	1	0	0	0	1	30
"1.0 (2024-01-04)"	"doi:10.11587/PGVNMD"	78	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	7	0	3	1	1	1	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	4	1	1	1	5	4	3	2	2	-1	-1	-1	-1	-1	-1	-1	5	6	5	7	5	4	4	4	6	3	4	4	5	2	1	4	2	4	4	3	2	3	3	4	4	3	2	4	3	4	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	7	2	2	0	0	0	1	1	0	0	0	2	30
"1.0 (2024-01-04)"	"doi:10.11587/PGVNMD"	79	0	1	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	1	1	1	0	1	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	5	3	1	1	1	4	5	4	4	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	2	2	3	3	2	4	2	4	3	3	2	4	3	3	2	3	3	4	2	1	4	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	1	1	1	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	7	2	3	0	0	1	0	1	0	0	0	1	45
"1.0 (2024-01-04)"	"doi:10.11587/PGVNMD"	80	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	4	3	3	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	1	0	1	0	1	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	4	4	4	1	4	2	1	5	7	5	7	5	-1	-1	-1	5	5	6	7	7	6	6	6	6	-1	-1	-1	-1	3	1	2	1	2	4	3	3	3	2	3	4	4	1	1	4	3	4	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	7	2	2	0	0	1	0	1	0	0	0	2	35
