version	doi	f1_1	f1_2	f1_3	f1_4	f1_5	f1_6	f1_7	f1_8	f1_9	f1_10	f1_11	f2_1	f2_2	f2_3	f2_4	f2_5	f2_6	f2_7	f2_8	f2_9	f2_10	f2_11
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	4	3	3	2	2	3	4	2	2	1	2	1	3	3	3	3	2	2	2	3
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	2	4	3	3	4	4	3	4	2	1	2	2	2	3	2	2	2	1	1	3	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	2	3	3	2	90	3	2	1	1	1	90	3	3	4	3	98	3	3	98	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	3	2	2	2	3	2	90	90	90	2	1	1	3	3	3	3	1	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	1	2	1	90	90	3	90	90	90	90	4	98	3	98	98	98	4	98	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	3	2	90	3	3	2	90	90	90	2	2	3	3	98	2	3	2	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	2	3	3	3	3	90	1	90	1	3	2	3	2	2	3	4	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	2	3	2	2	4	3	3	2	2	2	4	3	4	4	4	2	4	2	2	4	4
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	2	2	3	3	2	2	2	3	3	3	2	3	3	2	2	2	2	3	3	2	2
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	4	2	4	4	1	90	90	1	3	5	5	3	3	3	5	98	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	2	90	3	3	4	90	90	3	90	90	1	3	98	3	3	1	98	98	3	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	3	3	4	4	3	90	90	90	1	2	3	3	3	4	3	3	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	3	2	3	3	3	3	3	3	3	4	4	3	3	3	3	3	2	2	2	1
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	2	4	3	4	3	3	2	90	90	90	2	2	1	2	2	3	3	3	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	2	2	2	3	1	2	90	90	90	90	3	3	99	4	2	98	3	98	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	2	2	2	3	90	90	90	90	1	1	1	3	3	3	4	98	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	3	3	4	4	1	2	1	90	2	2	3	2	2	3	4	98	99	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	2	2	3	3	3	1	4	90	3	2	3	4	2	3	3	2	98	4	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	4	3	2	3	3	2	3	90	90	90	2	1	1	2	2	2	5	2	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	1	3	4	3	2	3	90	90	3	90	90	98	2	1	3	4	3	98	98	3	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	3	4	3	4	3	2	2	2	1	3	1	3	2	2	5	1	1	99	99
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	90	3	2	3	4	2	90	90	90	2	2	98	4	4	3	4	99	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	2	1	2	2	2	2	3	2	90	90	2	4	98	3	3	2	2	1	99	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	2	2	4	4	90	2	3	1	1	1	1	4	3	4	5	98	5	3	98	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	4	3	3	3	4	2	2	1	1	2	3	3	3	2	3	4	3	99	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	1	1	1	2	1	1	1	1	1	2	1	98	98	98	2	98	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	2	4	2	3	4	2	3	90	90	90	1	1	1	3	2	2	4	1	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	2	3	2	2	2	3	2	3	2	1	2	2	2	3	2	2	3	2	3	3
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	2	3	4	2	3	3	4	4	90	3	90	4	2	2	4	3	2	3	1	98	3	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	4	1	1	3	4	3	2	3	3	2	1	2	98	98	3	5	2	3	2	2
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	3	2	2	3	3	2	1	1	1	3	3	3	3	3	3	3	99	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	4	2	90	2	90	3	90	90	90	3	3	2	4	98	3	98	2	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	90	3	90	1	90	4	3	90	90	90	90	98	4	98	98	98	2	3	98	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	4	2	4	4	3	4	4	3	3	2	2	1	2	1	1	3	1	1	1	3
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	2	2	2	1	3	2	2	3	2	2	3	3	3	4	98	2	3	2	2	3	99
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	2	3	4	2	3	3	4	3	2	3	90	2	2	2	3	3	3	1	1	3	2	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	3	4	3	3	2	3	4	3	3	1	1	3	2	3	2	3	2	1	3	1
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	4	4	4	4	4	2	2	3	4	4	1	3	3	3	5	2	99	3	1
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	4	90	90	90	90	90	90	90	1	3	1	3	98	98	98	98	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	4	2	3	4	3	4	90	90	90	4	4	1	3	3	2	1	5	98	98	98	1
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	3	2	90	3	3	90	90	90	90	1	2	3	4	98	3	5	98	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	1	1	1
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	2	2	3	3	3	3	2	3	3	1	2	2	2	3	2	2	2	2	2	2
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	3	3	2	2	3	3	3	3	2	2	2	2	1	2	1	2	1	2	2	2
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	2	90	4	4	2	90	2	3	2	2	1	3	98	2	3	3	98	3	3
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	1	1	1
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	2	3	2	3	4	3	2	90	90	90	3	2	2	2	2	2	5	2	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	2	4	3	4	3	3	2	90	90	90	1	2	2	2	2	2	3	3	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	4	3	3	4	3	2	2	1	1	2	1	1	2	2	2	2	1	2	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	4	3	3	4	1	4	3	2	1	1	1	2	2	2	1	98	1	1	2	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	2	2	90	3	3	3	1	2	90	4	3	4	3	98	2	3	2	98	99	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	3	4	4	3	2	2	3	3	2	3	2	3	2	2	2	2	3	3	2
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	3	2	3	3	2	1	1	1	4	4	4	4	4	2	5	1	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	90	90	90	90	90	90	90	90	90	90	90	98	98	98	98	98	98	98	98	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	3	3	3	3	1	3	3	1	1	1	1	2	2	3	3	98	3	3	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	2	3	3	3	2	2	3	3	2	1	1	1	2	1	1	1	1	1	1	1
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	3	90	3	4	4	90	90	90	1	1	1	4	98	2	5	1	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	4	3	4	4	4	4	1	1	1	1	3	1	2	1	1	1	1	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	3	3	3	3	3	3	3	3	1	1	1	2	2	2	2	2	2	2	2
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	90	3	90	2	2	3	90	90	90	90	90	98	2	98	3	99	2	98	98	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	2	2	1	3	3	3	2	2	3	2	3	4	3	98	2	5	1	3	2	2
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	2	3	2	3	3	2	2	1	1	1	3	3	2	3	2	3	3	3	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	3	4	3	3	4	1	2	2	1	3	1	3	2	2	3	1	98	3	3
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	2	4	2	2	3	2	4	90	3	90	1	3	1	3	3	3	3	1	98	2	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	90	90	90	90	90	3	90	2	90	90	3	98	98	98	98	98	2	98	2	98	98	2
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	3	3	2	3	2	1	1	1	1	4	3	3	3	3	3	3	98	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	4	3	4	4	4	2	2	90	2	1	2	3	3	2	2	2	3	3	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	2	3	2	2	3	2	2	2	1	1	2	2	2	2	2	3	2	3	3	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	4	4	3	3	4	4	3	1	1	1	3	2	4	4	4	1	5	2	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	2	4	3	3	4	4	3	2	1	2	2	3	2	3	3	3	2	2	3	98	3
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	2	2	2	2	2	2	2	2	2	1	3	2	3	3	3	3	3	3	3	3	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	3	3	3	4	2	3	1	1	1	1	1	3	3	2	1	2	2	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	4	2	3	3	1	3	3	3	1	1	1	1	2	2	2	98	1	1	1	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	3	90	3	3	4	90	90	90	2	1	1	1	98	1	2	1	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	2	2	4	4	2	2	2	1	2	2	2	3	3	2	4	2	99	99	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	3	2	90	3	4	3	3	3	90	1	3	1	3	98	4	5	1	3	2	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	4	3	2	3	2	2	4	90	90	1	1	1	3	3	3	3	2	1	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	2	3	4	4	2	1	2	1	3	2	4	3	2	3	4	3	98	3	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	90	90	4	4	3	2	3	4	1	1	1	98	98	1	2	2	3	2	1
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	3	2	2	2	2	2	2	2	2	3	2	2	3	3	3	3	3	3	3	3
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	3	4	2	4	2	4	3	90	1	1	1	3	3	3	3	2	1	2	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	4	3	3	2	2	3	2	3	1	3	3	4	3	5	4	4	4	2	3	98	2
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	90	1	1	2	2	3	3	3	90	1	90	98	98	98	3	4	4	4	2	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	3	2	3	4	2	90	3	2	90	3	2	1	4	2	2	3	98	1	2	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	3	2	3	3	1	3	2	2	1	1	1	1	4	2	2	98	1	3	3	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	4	3	3	3	3	2	2	3	1	2	2	1	2	2	2	2	2	2	2	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	90	2	2	3	3	3	90	90	90	90	2	98	3	99	2	2	99	98	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	3	3	3	4	3	3	2	4	1	2	3	3	3	1	1	2	2	3	2	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	2	2	3	3	3	4	2	1	1	2	1	2	2	2	2	2	1	3	98	98	3	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	3	2	2	3	4	2	2	3	2	4	3	4	3	3	2	2	2	4	2	3
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	2	2	3	2	1	3	1	2	1	1	1	2	2	3	3	98	2	98	2	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	4	4	4	4	2	3	3	3	1	1	1	3	2	2	2	2	2	2	2
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	3	2	3	4	2	1	2	3	90	1	1	3	3	3	3	2	98	3	2	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	3	2	3	3	2	90	2	2	2	2	1	3	4	2	3	3	98	3	3	3
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	3	3	90	3	2	90	3	90	90	1	2	2	2	98	2	3	98	2	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	4	4	4	3	2	4	2	2	1	1	1	2	2	1	4	3	1	4	3
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	3	3	3	3	3	3	2	2	1	2	2	2	2	3	4	1	2	3	3
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	2	3	2	2	3	4	2	2	1	90	2	2	2	3	4	3	4	3	3	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	2	4	2	2	3	4	3	3	1	1	3	2	2	4	3	2	4	3	2	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	3	3	3	3	3	3
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	3	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	3	3	3
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	3	2	2	1	2	2	1	90	90	1	1	2	3	3	98	3	2	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	3	3	90	4	3	2	2	1	1	2	2	2	2	98	1	3	3	99	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	2	2	2	2	2	3	3	2	2	1	1	3	3	3	3	3	3	3	3	3	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	2	2	4	2	2	4	4	2	3	1	90	4	3	1	3	3	1	3	3	3	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	3	2	2	2	2	3	2	2	1	3	2	4	3	3	3	3	2	2	2	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	3	2	4	4	2	2	2	2	1	1	1	2	2	1	1	3	3	3	3
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	90	4	4	4	2	3	3	3	4	1	1	98	1	1	1	99	2	2	2	1
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	3	2	3	4	1	1	2	2	1	1	1	1	2	1	1	98	98	2	2	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	90	4	90	90	2	90	90	90	90	1	1	98	2	98	98	4	98	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	1	1	1	1	2	4	1	1	1	2	4	98	98	98	98	99	4	98	98	98	4
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	2	2	3	2	3	3	90	2	90	90	1	3	3	2	3	3	3	98	3	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	4	3	3	4	4	2	2	3	2	1	2	1	3	2	1	2	3	3	2	3
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	1	1	90	4	4	1	90	90	90	1	3	98	98	98	1	1	98	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	3	4	4	4	4	3	3	3	1	2	1	2	2	2	5	1	2	2	2
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	3	3	3	1	2	4	1	1	1	1	1	2	2	2	98	99	1	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	3	3	3	3	2	3	3	2	3	1	2	1	2	1	1	2	3	3	2	2
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	3	4	4	4	90	90	4	2	3	3	4	2	3	3	5	98	98	3	99
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	2	2	3	3	1	1	1	1	1	3	1	3	3	2	3	98	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	2	3	3	90	2	3	3	3	3	1	1	3	2	3	98	3	3	3	2	3
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	2	3	3	3	2	4	3	3	3	3	2	3	2	2	2	3	3	3	2	2	4
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	2	2	2	4	2	2	2	2	1	1	1	3	3	3	1	3	3	3	3
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	4	4	4	3	3	90	90	90	1	1	1	1	1	1	3	3	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	4	2	2	3	90	3	90	3	90	4	3	4	2	2	1	98	1	98	1	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	4	4	4	90	2	90	90	90	1	1	1	2	2	1	98	1	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	2	2	3	1	1	3	2	2	1	1	1	3	3	3	98	98	2	3	4
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	3	3	3	4	3	2	2	2	1	2	3	2	3	3	3	3	3	3	2
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	2	2	1	1	1	3	90	1	2	1	1	3	3	98	98	98	4	98	98	99	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	3	2	2	2	4	2	90	90	90	2	3	3	2	3	2	4	2	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	3	4	3	2	3	3	90	1	2	2	1	3	2	3	99	2	2	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	3	3	3	4	3	3	3	2	1	1	1	2	2	2	5	2	2	3	3
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	3	2	2	1	4	2	1	3	3	1	3	4	2	3	98	5	2	98	5	2
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	2	90	1	1	3	3	2	90	90	90	3	3	98	98	98	4	4	4	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	2	4	3	3	3	4	2	2	90	90	4	3	1	4	2	2	5	2	99	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	2	3	4	2	3	3	2	90	90	90	90	2	2	1	3	3	3	4	98	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	3	3	3	3	3	3	2	3	2	2	3	2	3	3	3	4	2	3	3	3
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	3	3	3	3	2	2	3	3	3	1	1	1	2	2	2	4	2	1	1	2
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	4	4	4	3	2	1	1	1	1	3	2	1	1	1	3	3	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	2	90	2	2	3	3	2	90	90	90	5	4	98	5	5	5	4	2	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	2	2	3	1	2	2	2	1	1	2	4	99	3	3	98	2	3	3	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	4	4	4	4	90	90	90	90	1	1	1	4	4	1	1	98	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	1	3	3	2	2	4	90	90	90	90	5	98	5	4	2	3	5	98	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	3	3	90	90	2	3	4	2	90	1	1	3	3	98	98	99	1	1	3	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	2	3	1	4	2	90	90	90	1	2	2	3	99	98	2	2	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	3	4	90	3	3	3	4	3	4	1	2	4	3	98	2	3	1	1	2	1
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	4	3	3	2	4	2	3	1	1	1	1	3	99	2	5	1	99	2	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	3	3	90	90	2	3	2	2	90	2	2	2	3	98	98	3	2	3	3	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	3	4	4	3	3	4	3	2	1	1	3	3	1	1	3	4	1	4	2	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	4	4	2	4	3	2	90	90	90	90	3	2	1	3	1	1	99	98	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	3	2	90	2	4	2	2	2	2	2	2	2	3	98	2	2	3	2	2	3
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	3	3	4	4	90	2	2	90	1	1	1	2	2	1	99	98	3	4	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	2	2	3	4	4	4	4	4	2	3	1	3	3	2	1	1	1	5	1	99	99	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	3	3	3	4	4	3	2	1	90	1	2	3	3	3	2	4	2	99	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	2	3	3	2	2	2	1	2	2	2	2	2	3	2	3	3	3	98	2	3	3
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	3	3	2	2	2	4	1	1	1	2	2	3	3	4	3	4	2	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	3	3	2	2	2	2	2	3	1	1	1	2	2	3	3	99	99	99	2
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	4	4	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	2	3	1	2	4	4	1	2	90	90	3	2	2	98	3	3	3	98	3	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	3	3	90	90	1	3	3	90	90	2	2	2	2	98	98	98	2	2	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	2	3	90	3	3	90	90	90	90	1	1	4	2	98	2	4	98	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	3	2	2	3	2	3	90	3	2	4	4	3	99	99	5	3	1	98	2	2
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	2	3	3	3	3	90	3	2	90	2	1	3	2	2	2	3	98	2	3	98	2
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	3	3	4	3	3	2	3	4	3	2	1	3	2	2	3	1	3	2	2
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	3	2	3	4	4	2	3	4	3	2	3	3	4	2	2	1	3	2	2	3
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	2	4	4	4	90	4	2	1	1	3	4	3	3	1	5	98	5	2	98	98	1
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	4	90	3	3	2	90	2	90	3	3	3	2	98	3	4	2	98	2	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	2	2	2	2	2	2	4	3	1	1	1	2	2	2	3	3	3	1	2	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	4	4	4	4	2	3	1	1	1	1	2	1	1	1	1	99	1	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	3	3	3	3	3	2	1	2	90	2	2	3	2	1	3	3	3	98	2	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	3	3	4	4	2	1	3	1	1	2	2	2	2	3	3	3	98	2	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	2	3	4	3	3	3	3	2	2	2	2	2	1	1	2	2	2	2	3	3
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	3	3	4	4	3	1	2	1	3	4	4	2	2	5	5	2	98	3	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	3	3	3	3	4	2	2	1	1	2	2	2	2	2	1	1	3	3	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	3	3	3	3	3	1	2	90	1	1	1	2	2	2	3	2	98	99	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	3	90	3	2	2	3	90	90	1	1	1	1	98	2	3	3	1	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	3	2	2	3	3	4	4	3	1	1	2	2	2	2	3	5	1	1	3	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	2	2	3	2	90	3	2	4	3	3	3	4	2	2	3	98	2	3	2	2	99	1
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	2	2	3	1	2	90	3	3	90	90	90	2	3	3	98	99	98	3	2	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	3	2	2	3	2	2	90	2	1	1	2	2	3	3	4	4	3	98	2	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	3	90	3	2	90	2	3	90	2	2	3	3	98	2	99	98	2	2	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	3	3	2	3	3	2	90	90	90	1	2	2	3	3	3	3	2	98	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	3	3	4	4	4	3	2	3	2	5	3	3	3	2	3	5	4	3	3	3
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	3	4	3	2	2	2	3	2	90	2	2	1	1	2	2	3	2	2	3	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	4	3	3	4	3	3	3	3	4	1	2	1	3	3	2	2	2	2	3	2
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	3	2	2	2	3	4	2	3	4	1	3	4	4	3	4	5	4	2	2	1	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	2	3	4	4	4	4	90	90	1	2	2	3	3	4	3	1	1	98	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	4	4	4	2	4	4	4	2	2	2	90	1	1	1	3	1	2	4	2	2	3	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	4	4	3	2	3	1	4	4	4	1	2	2	3	3	3	3	98	2	1	1	98
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	2	3	2	2	1	2	3	2	2	2	2	3	3	3	2	98	3	1	2	3	3
"1.0 (2018-09-19)"	"10.11587/YAMHRG"	3	3	2	3	3	3	4	2	2	2	2	2	2	3	2	2	3	3	3	2	3	99
